visited Date,title,user Name,hit Count
3_4_2021,Site Usage Report,SHAREPOINT\system,17
3_4_2021,Page_Usage_Log - All Items,SHAREPOINT\system,26
3_4_2021,SharePro - Home,SHAREPOINT\system,2
3_4_2021,Site Settings,SHAREPOINT\system,2
3_4_2021,Site Master Page Settings,SHAREPOINT\system,1
3_4_2021,Master Page Gallery - All Master Pages,SHAREPOINT\system,2
3_4_2021,Page_Usage_Log - New Item,SHAREPOINT\system,1
3_4_2021,Page_Usage_Log - SharePro - Home,SHAREPOINT\system,1
1_4_2021,SharePro - Home,SHAREPOINT\system,34
3_4_2021,Page_Usage_Log - Page_Usage_Log - All Items,SHAREPOINT\system,5
3_4_2021,Page_Usage_Log - All Items,i:0